year,data_series,percentage
2023,Carbon Dioxide (CO2),86.9
2023,Methane (CH4),0.2
2023,Nitrous Oxide (N2O),1.0
2023,Hydrofluorocarbons (HFCs),7.2
2023,Perfluorocarbons (PFCs),3.8
2023,Sulphur Hexafluoride (SF6),0.2
2023,Nitrogen Trifluoride (NF3),0.8
2022,Carbon Dioxide (CO2),86.0
2022,Methane (CH4),0.2
2022,Nitrous Oxide (N2O),1.0
2022,Hydrofluorocarbons (HFCs),7.1
2022,Perfluorocarbons (PFCs),4.3
2022,Sulphur Hexafluoride (SF6),0.3
2022,Nitrogen Trifluoride (NF3),1.1
2021,Carbon Dioxide (CO2),87.8
2021,Methane (CH4),0.2
2021,Nitrous Oxide (N2O),1.0
2021,Hydrofluorocarbons (HFCs),6.3
2021,Perfluorocarbons (PFCs),3.6
2021,Sulphur Hexafluoride (SF6),0.2
2021,Nitrogen Trifluoride (NF3),0.8
2020,Carbon Dioxide (CO2),88.6
2020,Methane (CH4),0.2
2020,Nitrous Oxide (N2O),1.1
2020,Hydrofluorocarbons (HFCs),6.2
2020,Perfluorocarbons (PFCs),3.0
2020,Sulphur Hexafluoride (SF6),0.2
2020,Nitrogen Trifluoride (NF3),0.7
2019,Carbon Dioxide (CO2),89.4
2019,Methane (CH4),0.2
2019,Nitrous Oxide (N2O),1.0
2019,Hydrofluorocarbons (HFCs),5.6
2019,Perfluorocarbons (PFCs),2.9
2019,Sulphur Hexafluoride (SF6),0.2
2019,Nitrogen Trifluoride (NF3),0.7
2018,Carbon Dioxide (CO2),90.0
2018,Methane (CH4),0.2
2018,Nitrous Oxide (N2O),0.9
2018,Hydrofluorocarbons (HFCs),5.0
2018,Perfluorocarbons (PFCs),3.0
2018,Sulphur Hexafluoride (SF6),0.2
2018,Nitrogen Trifluoride (NF3),0.7
2017,Carbon Dioxide (CO2),90.8
2017,Methane (CH4),0.2
2017,Nitrous Oxide (N2O),0.8
2017,Hydrofluorocarbons (HFCs),4.3
2017,Perfluorocarbons (PFCs),3.0
2017,Sulphur Hexafluoride (SF6),0.2
2017,Nitrogen Trifluoride (NF3),0.7
2016,Carbon Dioxide (CO2),91.9
2016,Methane (CH4),0.2
2016,Nitrous Oxide (N2O),0.6
2016,Hydrofluorocarbons (HFCs),3.8
2016,Perfluorocarbons (PFCs),2.9
2016,Sulphur Hexafluoride (SF6),0.2
2016,Nitrogen Trifluoride (NF3),0.4
2015,Carbon Dioxide (CO2),92.3
2015,Methane (CH4),0.2
2015,Nitrous Oxide (N2O),0.6
2015,Hydrofluorocarbons (HFCs),3.5
2015,Perfluorocarbons (PFCs),2.9
2015,Sulphur Hexafluoride (SF6),0.2
2015,Nitrogen Trifluoride (NF3),0.3
2014,Carbon Dioxide (CO2),92.2
2014,Methane (CH4),0.2
2014,Nitrous Oxide (N2O),0.6
2014,Hydrofluorocarbons (HFCs),3.4
2014,Perfluorocarbons (PFCs),2.9
2014,Sulphur Hexafluoride (SF6),0.3
2014,Nitrogen Trifluoride (NF3),0.3
2013,Carbon Dioxide (CO2),92.7
2013,Methane (CH4),0.2
2013,Nitrous Oxide (N2O),0.6
2013,Hydrofluorocarbons (HFCs),3.1
2013,Perfluorocarbons (PFCs),2.9
2013,Sulphur Hexafluoride (SF6),0.3
2013,Nitrogen Trifluoride (NF3),0.3
2012,Carbon Dioxide (CO2),93.2
2012,Methane (CH4),0.2
2012,Nitrous Oxide (N2O),0.6
2012,Hydrofluorocarbons (HFCs),2.8
2012,Perfluorocarbons (PFCs),2.8
2012,Sulphur Hexafluoride (SF6),0.2
2012,Nitrogen Trifluoride (NF3),0.2
2011,Carbon Dioxide (CO2),93.5
2011,Methane (CH4),0.2
2011,Nitrous Oxide (N2O),0.6
2011,Hydrofluorocarbons (HFCs),2.4
2011,Perfluorocarbons (PFCs),2.9
2011,Sulphur Hexafluoride (SF6),0.2
2011,Nitrogen Trifluoride (NF3),0.2
2010,Carbon Dioxide (CO2),93.7
2010,Methane (CH4),0.3
2010,Nitrous Oxide (N2O),0.7
2010,Hydrofluorocarbons (HFCs),2.2
2010,Perfluorocarbons (PFCs),2.8
2010,Sulphur Hexafluoride (SF6),0.2
2010,Nitrogen Trifluoride (NF3),0.2
2009,Carbon Dioxide (CO2),94.7
2009,Methane (CH4),0.3
2009,Nitrous Oxide (N2O),0.7
2009,Hydrofluorocarbons (HFCs),2.2
2009,Perfluorocarbons (PFCs),2.0
2009,Sulphur Hexafluoride (SF6),0.0
2009,Nitrogen Trifluoride (NF3),0.1
2008,Carbon Dioxide (CO2),95.4
2008,Methane (CH4),0.4
2008,Nitrous Oxide (N2O),0.6
2008,Hydrofluorocarbons (HFCs),1.8
2008,Perfluorocarbons (PFCs),1.8
2008,Sulphur Hexafluoride (SF6),0.0
2008,Nitrogen Trifluoride (NF3),0.0
2007,Carbon Dioxide (CO2),95.7
2007,Methane (CH4),0.4
2007,Nitrous Oxide (N2O),0.6
2007,Hydrofluorocarbons (HFCs),1.5
2007,Perfluorocarbons (PFCs),1.7
2007,Sulphur Hexafluoride (SF6),0.0
2007,Nitrogen Trifluoride (NF3),0.0
2006,Carbon Dioxide (CO2),94.0
2006,Methane (CH4),0.3
2006,Nitrous Oxide (N2O),0.6
2006,Hydrofluorocarbons (HFCs),1.3
2006,Perfluorocarbons (PFCs),2.9
2006,Sulphur Hexafluoride (SF6),0.1
2006,Nitrogen Trifluoride (NF3),0.7
2005,Carbon Dioxide (CO2),94.4
2005,Methane (CH4),0.3
2005,Nitrous Oxide (N2O),0.6
2005,Hydrofluorocarbons (HFCs),1.1
2005,Perfluorocarbons (PFCs),2.8
2005,Sulphur Hexafluoride (SF6),0.1
2005,Nitrogen Trifluoride (NF3),0.6
2004,Carbon Dioxide (CO2),95.3
2004,Methane (CH4),0.3
2004,Nitrous Oxide (N2O),0.6
2004,Hydrofluorocarbons (HFCs),0.9
2004,Perfluorocarbons (PFCs),2.3
2004,Sulphur Hexafluoride (SF6),0.1
2004,Nitrogen Trifluoride (NF3),0.4
2003,Carbon Dioxide (CO2),95.2
2003,Methane (CH4),0.4
2003,Nitrous Oxide (N2O),0.8
2003,Hydrofluorocarbons (HFCs),0.8
2003,Perfluorocarbons (PFCs),2.4
2003,Sulphur Hexafluoride (SF6),0.1
2003,Nitrogen Trifluoride (NF3),0.4
2002,Carbon Dioxide (CO2),96.4
2002,Methane (CH4),0.3
2002,Nitrous Oxide (N2O),0.7
2002,Hydrofluorocarbons (HFCs),0.7
2002,Perfluorocarbons (PFCs),1.7
2002,Sulphur Hexafluoride (SF6),0.1
2002,Nitrogen Trifluoride (NF3),0.2
2001,Carbon Dioxide (CO2),96.7
2001,Methane (CH4),0.3
2001,Nitrous Oxide (N2O),0.7
2001,Hydrofluorocarbons (HFCs),0.5
2001,Perfluorocarbons (PFCs),1.5
2001,Sulphur Hexafluoride (SF6),0.1
2001,Nitrogen Trifluoride (NF3),0.1
2000,Carbon Dioxide (CO2),96.4
2000,Methane (CH4),0.3
2000,Nitrous Oxide (N2O),0.7
2000,Hydrofluorocarbons (HFCs),0.4
2000,Perfluorocarbons (PFCs),1.9
2000,Sulphur Hexafluoride (SF6),0.1
2000,Nitrogen Trifluoride (NF3),0.2
